SKILLNAME	DESCRIPTION	SHIPNAMES	INJURERATIO	DMGRATIO	BUFFTOCANDAM	BUFFTOTORPDAM	BUFFTOAIRDAM	BUFFTOFIREPOWER	BUFFTOTORPEDO	BUFFTOAVIATION	BUFFTOANTIAIR	DMGTOHMS	DMGTOUSS	DMGTOIJN	DMGTOKMS	DMGTOROC	DMGTOFFNF	DMGTOMNF	DMGTOSIREN	DMGTODD	DMGTOCL	DMGTOCA	DMGTOLC	DMGTOBC	DMGTOBB	DMGTOAB	DMGTOCVL	DMGTOCV	DMGTOSUB	HEBUFF	APBUFF	INITENHANCE	MANUALENHANCE	INJBYCAN	INJBYTORP	INJBYAIR	DMGBYCAN	DMGBYTORP	DMGBYAIR	COMBO	CRITCAN	CRITTORP	CRITAIR	SALVOBONUS
Lucky Lou	Every 20 seconds, 30% (60%) chance to increase own Firepower, Reload and Evasion by 10% (30%) for 10 seconds.	St. Louis	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mach 2.42 Blossom	Dive Bomber slot is equipped with "Mach 2.42 Bermbew Sprawt" skin. Airstrike reload timer is increased by 100%. Every 20 seconds, calls in air support plane (damage scales with Torpedo stat and skill level).	Shirakami Fubuki	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnetic Torpedoes	Every 35 (15) seconds, launch 4 magnetic torpedoes that home to enemies within a short distance of itself (damage is based on skill level).	Tirpitz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medistation S	When being attacked, 3.5% (8%) chance to increase own damage by 10% (25%) for 8 seconds.	Noire	0	0.25	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melee Artillery	Can activate only 10 seconds after the start of battle. When enemies enter a certain range, fires a Lvl 1 (10) special barrage. Can activate only once every 10 seconds.	Hyuuga (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melty World	If sortied with another Kizuna AI ship, when launching an airstrike: 15% (25%) chance for the Airstrike to deal double damage.	Anniversary Kizuna AI	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mercurial Memories	Increases this ship's DMG dealt to BBs and CAs by 5.0% (20.0%). When this ship takes DMG: 15.0% chance to for it to evade all enemy attacks for 5.0 (10.0) seconds. (Has a 20s cooldown when activated.)	Pamiat Merkuria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Messenger of Love	When sortied with Destroyers: increases own Firepower, Anti-Air, and Accuracy by 5% (15%). Once per battle, when a Destroyer in the fleet falls below 50% Health: fires a barrage.	Emile Bertin (Retrofit)	0	0	0	0	0	0.15	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Meteor Slam	All Escort ships deal 50% (100%) more ramming damage and take 20% (30%) less damage from ramming.	Glowworm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MKV-Class AP Shells	Increases own AP damage dealt by 15% (35%).	HMS Neptune	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0
Monarch's Coercion	When firing main gun: 40% (70%) chance to fire a special barrage (damage is based on skill level) and enemies hit by the barrage have their movement speed decreased by 40% for 6 seconds.	Monarch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morale Boost	Every time the main gun is fired 10 times, increases own Reload by 1.5% (5%) and Full Barrage damage by 20% (40%). Can be stacked 4 times.	Z2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MP Burst - Explosion	Every 8 seconds, gains 1 MP. If Shion has 3 MP: fires a special barrage and resets MP to 0 (damage is based on skill level).	Murasaki Shion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myriad Nights: Heaven	Increases own Reload by 15% (35%). Every torpedo launch has a 15% (30%) chance to launch another round.	Maya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nightmare of Solomon	When firing main gun, 6% chance to increase own Firepower, Torpedo stat, Reload, and Evasion by 20% (40%) for 8 seconds.	Yuudachi	0	0	0	0	0	0.4	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Passionate Fever	After battle starts, and 40% (70%) chance to activate every 20 seconds after that: changes Main Gun ammo to red Musical Note for 12 seconds.	Admiral Hipper (Muse)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phoenix's Plumage	When this ship fires its torpedoes: 15.0% (30.0%) chance to launch a second wave of torpedoes. Once per battle, when this ship's HP drops below 20.0%: restores 10.0% (20.0%) of this ship's max HP.	Hibiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Piercing Shells	Increases AP shell damage by 15% (25%).	Edinburgh,Z18,Z19,Z20,Z21,Z2,Z46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
Pirate's Soul	During battle: every first main gun salvo deals 40% (60%) more damage. All manually aimed salvoes deal 40% (60%) more damage.	Jean Bart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	0	0	0	0	0	0	0	0	0	0	0
Pocket Battleship	Increases own damage against Destroyers and Light Cruisers by 15% (35%).	Admiral Graf Spee, Deutschland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precise Arrow	After firing Main Gun 3 times, changes Main Gun ammo type to blue Musical Note for the next Main Gun shot.	Sheffield (Muse)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Predestined Launch	Every time own airstrike finishes loading, 20% (40%) chance to launch an attack with Ryuusei, Suisei, and/or Saiun squadrons (Squadrons are independent variables of each other). Saiun squadron does not carry any ammunition and increases main fleet's damage by 10% for 8 seconds upon activation.	Taihou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Preemptive Strike	During battle, if the fleet contains more than 3 Sakura Empire ships, triggers a Lv. 1 (Lv. 10) aerial barrage 12 seconds after the start of the battle.	Akagi-chan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Promise to the Sunflower	When entering battle: fires a special barrage with 100% critical hit chance. If fleet consists of at least 2 other Hololive ships, the barrage is enhanced.	Minato Aqua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protector of the North Passage	When launching an airstrike: reveals all submarines currently present for 5 (10) seconds, then launches Swordfish planes for anti-submarine and torpedo attack (damage increases with level).	Chaser	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Quick Reload	Every 20 seconds, 30% (60%) chance to increase own Reload by 20% (40%) for 10 seconds.	Aulick,Cassin (Retrofit),Concord,Downes (Retrofit),Foote,Fumizuki,Kisaragi,Matsukaze,Memphis,Mikazuki,Minazuki,Mutsuki,Nagatsuki,Omaha,Raleigh,Spence,Uzuki	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Quick Takeoff	When launching an airstrike: 5% (15%) chance for next airstrike to become available immediately.	Bogue,Chaser,Long Island,Ranger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rainy Ratnapura	20% (40%) chance to activate every 20 seconds: perform an airstrike with a special aviation.	Green Heart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Relentless Persistence	When sortied without other CVs/CVLs: increase Main Fleet's Anti-Air by 4.5% (12%). When launching an airstrike: launch an aerial barrage based on the number of CVs/CVLs in the Main Fleet (damage based on skill level).	Bunker Hill	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reno Barrage	While equipping a DD Main Gun: increases this ship's Main Gun efficiency by 10.0%. Activates Reno Barrage Ⅱ once every 10 times (8 if equipping a DD Main Gun) the Main Guns are fired.	Reno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rezkiy Assault	Increase own main gun's critical rate by 5% (20%).	Fu Shun	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0
Ricarica!	Increases own damage dealt with Torpedoes by 30% (50%) for the first 3 Torpedo launches.	Carabiniere	0	0.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rosa Bombardamento	When firing main gun: 35% (65%) chance to fire a special barrage (damage is based on skill level). If equipped with the Triple 381mm Main Gun (M1934): improves the barrage and increases its proc chance by 10%.	Littorio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Royal Alliance	During battle, increases own Firepower, Reload, Evasion, and Anti-Air by 1% (5%) per Eagle Union ship in the fleet.	Prince of Wales	0	0	0	0	0	0.05	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Royal Arts: Knight's Arsenal	If this ship's third slot is equipped with a gun, increase its slot efficiency by 25% (45%), increase that weapon's range to 80, and fire a special barrage every 24 seconds. If the third slot is equipped with a dive bomber, decrease the load time of this ship's first airstrike by 20% (50%).	Eagle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Royal Arts: Swordbearing Eagle	When launching an airstrike, launch an additional special swordfish torpedo squadron Lv.1 (Lv.10).	Eagle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Royal Navy's Glory	When firing main gun: 40% (70%) chance to launch a frontal barrage (damage based on skill level), and increase Reload by 20% (40%) for all ships in the Main Fleet for 8 seconds.	Hood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sacrament: Holy Bombardment	If this ship's third slot is equipped with a gun, increase its slot efficiency by 25% (45%), increase that weapon's range to 80, and fire a special barrage every 24 seconds. If the third slot is equipped with a dive bomber, decrease the load time of this ship's first airstrike by 20% (50%).	Bearn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sacrament: Sacred Second Wing	Five seconds after an airstrike is ready to launch, trigger a special torpedo and plane barrage. Barrage damage is based on skill level. This may trigger up to three times per battle.	Bearn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sardegnian Coercion	When firing Main Gun: 20% (50%) chance to fire a special barrage (damage is based on skill level).	Giulio Cesare	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scarlet Waltz	When this ship launches an Airstrike: launches an additional Lv.1 (Lv.10) airstrike (DMG is based on the skill's level). If this ship's HP is above 45.0% when launching this airstrike: the airstrike becomes more powerful, but this ship takes 200 DMG.	Taihou (Muse)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Semi-Armor Piercing High-Explosive	If equipped with an HE or SAP Main Gun: increases own damage dealt with Main Gun by 4.5% (12%) but loses the ability to ignite enemies. If equipped with an AP Main Gun, and when said Main Gun shot hits an enemy: 3.5% (8%) chance to increase damage dealt with said Main Gun to said enemy by 5% (15%) for 10 seconds.	Zara	0.12	0.15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sharpshooter of Londinium	When firing main gun: 15% (30%) chance to inflict double damage. Upon destroying an enemy ship: increases own Accuracy by 0.5% (1.5%), stacking up to 8 times.	London (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shells of Judgement	Gain 3.5% (8%) more FP/TP; after 15 (5) main gun attacks, attacking the closest enemy with a special barrage.	La Galissonniere	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shut-in Maid	Decreases own Oxygen stat by 150 (60). For 20 seconds after entering battle, increases own damage dealt by 15% (30%). When retreating: increases Speed by 100% during the retreat.	Minato Aqua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Silent Hunter	Increase damage dealt to CVs by 5% (20%). When own torpedo hits an enemy ship: 5% (15%) chance to cause Flooding for 24 second, inflicting damage every 3 second (Damage depends on torpedo type/attribute). If effect is applied on an enemy ship that already has Flooding, refreshes Flooding duration.	U-81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Silver Phantom	Increases own damage dealt to Destroyers, transport vessels, torpedo boats, and suicide boats by 10% (20%).	Aurora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siren Killer	Increases own damage dealt to Sirens by 5% (15%).	Monarch, Gascogne, Friedrich der Grosse, Roon, Azuma, Saint Louis, Seattle, Izumo, Ibuki, Kitakaze, Georgia, HMS Neptune	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sister Penn	Every 20 seconds: 30% (60%) chance to fire a unique barrage (damage increases with skill level).	Pennsylvania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slow Torpedoes	Decreases Torpedo speed by 1 and increases Torpedo damage by 4.5% (12%).	I-168,I-19,I-56	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sniper	Every 35 (15) seconds, fires a barrage at a random enemy with 100% critical hit chance (Damage depends on skill level, shell type changes from Normal to AP shells after reaching skill level 6).	Scharnhorst	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sonata of Chaos	Every odd salvo increases own Reload by 30% (50%) and damage by 10% (20%) until the next salvo is fired. Every even salvo increases critical rate by 10% (20%) and critical damage by 30% (50%) until the next salvo is fired.	Friedrich der Grosse	0	0.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0
Soaring Opening	At the start of the battle: increases this ship's AVI by 1.5% (6.0%) for each additional Muse ship in the same fleet (can be stacked up to 4 times.) Once per battle, when this ship's HP falls below 35.0% from being attacked: fires a Lv.1 (Lv.10) barrage that heals this ship for 8.0% of the DMG dealt (which is based on the skill's level). After this barrage is fired: decreases the load time of this ship's next Airstrike by 10.0% (20.0%).	Taihou (Muse)	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Soaring Silver Wings	After this ship finishes loading an Airstrike: launches an additional Lv.1 (Lv.10) SB2C Helldiver airstrike (DMG is based on the skill's level.) This airstrike inflicts Armor Break to all BBs, BCs, and BBVs hit by it. Armor Break debuff does not stack.	Intrepid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sparkling Battle Star!	Increase own Anti-Air stat by 10% (25%). Every 20 seconds, 50% (100%) chance to release a powerful barrage.	San Diego (Retrofit)	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sparkling Star	Every 14 seconds, releases a star-shaped barrage (damage increases with skill level).	Li'l Sandy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spiritual Chasing	Every 15 seconds: changes Main Gun ammo type to purple Musical Note for 8 seconds.	Cleveland (Muse)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Strike Team, Attack!	Every battle, when this ship launches its first Airstrike: launches an additional seaplane airstrike; when it launches its second Airstrike and onwards: 40% (70%) chance to launch an additional torpedo bomber airstrike (DMG is based on the skill's level). If there is a Sakura Empire CVL in the same fleet as this ship: improves these airstrikes.	Chitose	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Super Aiming Adjustments	Increases Main Gun critical rate by 15% (30%), but increases its Spread Range by 1. Every 16 seconds after the start of the battle: 40% (70%) chance to fire a special barrage (damage is based on skill level).	Super Gamer Kizuna AI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Supporting Wings	Increases own Aviation by 5% (15%). All Fairey Albacore planes in use gain 5% (15%) additional efficiency. If equipped with Fairey Albacore plane, when launching an airstrike: 70% (100%) chance to launch additional Fairey Albacore planes that has 80% chance to inflict Flooding for 9 seconds upon hitting an enemy (damage is based on skill level and Aviation stat).	Formidable	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Suppression Fire	Whenever own torpedoes hit 5 times, increases own Firepower by 3.5% (8%). Can be stacked up to 3 times.	Mogami (Retrofit)	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Surpriiiiiiiise!	When resurfacing: launches torpedoes (damage increases with Level) that have a 70% chance to inflict Burn damage (based on Torpedo stat) upon hit.	Albacore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Suzutsuki, Breaking Through!	At the start of the battle, for each Sakura Empire ship in the same fleet as this ship (including self), increase this ship's FP and AA by 1.0% (5.0%) until the end of the battle. Whenever two enemy aircrafts are shot down within your fleet's Anti-Air Gun range, gain another stack of this buff. This buff may stack up to 6 times.	Suzutsuki	0	0	0	0	0	0.3	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Swordfishes, Attack!	Increase own damage dealt to Battleships by 4% (10%). When launching an airstrike: deploys additional Swordfish planes that launch torpedoes (damage increases with skill level) which reduce the speed of enemies they hit by 40% for 6 seconds.	Centaur	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Swordfishes, Strike!	When launching an airstrike: reduces Speed of all enemies onscreen by 30% (60%) for 8 seconds and deploys additional Swordfish planes that launch torpedoes (damage increases with Level).	Ark Royal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synchronized Strike	Every 35 (15) seconds after the battle starts: Fire a Level 1 (Level 10) special barrage at a random enemy, and increase the RLD and Accuracy of all BBs, BCs, and BBVs in your main fleet by 10.0% (20.0%) for 8 seconds.	Howe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symphony of Destruction	Upon taking damage OR when an enemy ship enters a certain range: fires a Level 1 (10) barrage with Secondary Guns that ignores the enemy's armor type (damage is based on skill level). Has a cooldown of 15 seconds.	Friedrich der Grosse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Take the Initiative!	Durring battle, if the fleet contains more than 3 Sakura Empire Ships, triggers a Lv. 1 (Lv. 10) aerial barrage 12 seconds after the start of the battle.	Akagi-chan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tanzerin Trombe	Each hit with the main gun increases own torpedoes' critical strike chance by 0.6% (1.5%) (stacks up to 20 times, effect resets after torpedo lauch).	White Heart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Target Designator: Torpedo	When own torpedoes hit a target: 7% (17%) chance to increase Torpedo damage dealt to targeted enemy ship by 20% (40%) for 8 seconds (Effect does not overlap).	Tanikaze (Retrofit), Matchless	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0
Taste My Wrath!	During battle, increases own Firepower by 20 (80) every 8 seconds. When this effect is stacked 3 times, fires a special barrage then clears effect bonuses. If equipped with a CL gun: enhances special barrage.	Zeppy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ten Sisters	When taking damage, 4% (10%) chance to fire a special barrage; 5 seconds cool down after activation. The skill can be activated up to 6 times each battle.	Kuon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tenacious Knight of the Sea	While alive in fleet, reduces duration of burning effect on flagship and self by 3 seconds. When enemy plane is shot down, increases own Firepower and Anti-Air stat by 5% (15%) for 8 seconds (effect does not stack).	Birmingham	0	0	0	0	0	0.15	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Blue Cruiser	At the start of the battle: increases this ship's FP by 4.0% (10.0%) and spawns Snezhinka, a summon which fights for 20 (50)s and lowers the Speed of enemies hit by it (its DMG dealt and active duration is based on the skill's level.) Additionally, when this ship sinks an enemy: increases this ship's FP by 0.5% (2.0%) (can be stacked up to 5 times.)	Tashkent	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Bull of Scapa Flow	When own torpedo hits an enemy ship: in the next 5 seconds, the next torpedo to hit that enemy will deal 20% (40%) more damage.	U-47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0
The Demon	When firing main gun, 5% chance to increase own Torpedo stat by 30% (60%) for 12 seconds.	Ayanami	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Fearless Privateer	Increase this ship's built-in Secondary Gun Crit Rate by 20% (50.0%) and gives a Lv.1 (Lv.10) ammo buff to it. When this ship uses a Main Gun that fires Normal or HE ammo: this ship's Main Gun ammo type changes to special HE with 115/115/95 (125/125/105) modifiers.	Drake	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Fighting G	Increases this ship's FP and Accuracy by 5.0%. Every time this ship sinks an enemy: increases this ship's FP and Accuracy by 1.0% (2.0%) for the rest of the battle (can be stacked up to 5 times.)	Gloucester	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
